,precision,recall,fbeta
workclass=Private,0.7236467236467237,0.2578680203045685,0.38023952095808383
workclass=Self-emp-not-inc,0.7735849056603774,0.271523178807947,0.4019607843137255
workclass=Local-gov,0.5777777777777777,0.23214285714285715,0.33121019108280253
workclass=State-gov,0.6071428571428571,0.2463768115942029,0.35051546391752575
workclass=Self-emp-inc,0.9464285714285714,0.424,0.585635359116022
workclass=Federal-gov,0.7307692307692307,0.2375,0.3584905660377359
workclass=Without-pay,0.0,1.0,0.0
workclass=Never-worked,1.0,1.0,1.0
